"Month","Longitude","Latitude","Location","Crime.type"
"2015-01",-5.927414,54.595132," Alfred Street","Anti-social behaviour"
"2015-01",-6.294961,54.461861," Belfast Road","Anti-social behaviour"
"2015-01",-7.462554,54.353199," Gardiners Cross Road","Anti-social behaviour"
"2015-01",-6.40621,54.43348," Lisnisky Lane","Anti-social behaviour"
"2015-01",-6.448531,54.430994," Churchill Gardens","Anti-social behaviour"
"2015-01",-5.951986,54.614868," Ardilea Court","Anti-social behaviour"
"2015-01",-6.072687,54.509122," Moira Park","Anti-social behaviour"
"2015-01",-6.456443,54.433683," Ballyoran Park","Anti-social behaviour"
"2015-01",-5.698051,54.59165," John Street","Anti-social behaviour"
"2015-01",-6.253506,54.101899," East Street","Anti-social behaviour"
"2015-01",-5.699252,54.593389," Mill Street","Anti-social behaviour"
"2015-01",-6.023766,54.519132," Hilden Court","Anti-social behaviour"
"2015-01",-6.40621,54.43348," Lisnisky Lane","Anti-social behaviour"
"2015-01",-5.906281,54.680027," Abbeycroft Road","Anti-social behaviour"
"2015-01",-6.193796,54.719641," Crossreagh Drive","Anti-social behaviour"
"2015-01",-6.230421,54.479666," Castlevue Gardens","Anti-social behaviour"
"2015-01",-5.935169,54.588355," Lisburn Road","Anti-social behaviour"
"2015-01",-5.744079,54.549746," Gillespie Court","Anti-social behaviour"
"2015-01",-5.9393,54.585909," Fitzwilliam Street","Anti-social behaviour"
"2015-01",-5.938336,54.660666," Whitewell Mews","Anti-social behaviour"
"2015-01",-5.975881,54.622197," Legann Street","Anti-social behaviour"
"2015-01",-5.672622,54.649228," Hill Crest","Anti-social behaviour"
"2015-01",-6.339564,54.180676," Erskine Street","Anti-social behaviour"
"2015-01",-5.861459,54.840128," Drumahoe Gardens","Anti-social behaviour"
"2015-01",-5.928966,54.58346," Rugby Street","Anti-social behaviour"
"2015-01",-5.979165,54.618739," Forthriver Drive","Anti-social behaviour"
"2015-01",-5.991937,54.58073," Bingnian Drive","Anti-social behaviour"
"2015-01",-6.701296,54.539279," Platers Hill","Anti-social behaviour"
"2015-01",-7.641273,54.350602," Derrin Road","Anti-social behaviour"
"2015-01",-5.896437,54.549168," Finsbury Crescent","Anti-social behaviour"
"2015-01",-5.922125,54.602355," Donegall Quay","Anti-social behaviour"
"2015-01",-5.858198,54.618429," Knocknagoney Park","Anti-social behaviour"
"2015-01",-6.332689,54.478039," Fox'S Hill","Anti-social behaviour"
"2015-01",-5.838481,54.638996," Ean Hill","Anti-social behaviour"
"2015-01",-5.712382,54.314076," Glebetown Drive","Anti-social behaviour"
"2015-01",-7.379644,54.718505," Davis Crescent","Anti-social behaviour"
"2015-01",-6.456443,54.433683," Ballyoran Park","Anti-social behaviour"
"2015-01",-5.701252,54.594424," Regent Street","Anti-social behaviour"
"2015-01",-6.047399,54.506129," Hillsborough Road","Anti-social behaviour"
"2015-01",-5.958754,54.612637," Brookfield Place","Anti-social behaviour"
"2015-01",-5.968348,54.601226," Watermouth Crescent","Anti-social behaviour"
"2015-01",-5.807505,54.59486," Upper Newtownards Road","Anti-social behaviour"
"2015-01",-5.863614,54.577426," Lower Braniel Road","Anti-social behaviour"
"2015-01",-7.319177,55.019342," Racecourse Road","Anti-social behaviour"
"2015-01",-6.701481,54.537367," Ardnasaggart Terrace","Anti-social behaviour"
"2015-01",-5.745216,54.549875," Killinchy Street","Anti-social behaviour"
"2015-01",-7.30036,55.018983," Gleneagles","Anti-social behaviour"
"2015-01",-6.941427,55.041299," Glenmore Gardens","Anti-social behaviour"
"2015-01",-5.987218,54.597372," Moyard Parade","Anti-social behaviour"
"2015-01",-7.590255,54.355937," Clover Brae","Anti-social behaviour"
"2015-01",-5.923839,54.616428," North Derby Street","Anti-social behaviour"
"2015-01",-5.669344,54.659668," Main Street","Anti-social behaviour"
"2015-01",-5.930747,54.602952," Royal Avenue","Anti-social behaviour"
"2015-01",-7.354309,54.962789," Stoneypath","Anti-social behaviour"
"2015-01",-5.912228,54.67322," Station Road","Anti-social behaviour"
"2015-01",-7.276541,54.967436," Rushall Road","Anti-social behaviour"
"2015-01",-5.800903,54.726975," Manor Close","Anti-social behaviour"
"2015-01",-7.4594,54.819119," Ballycolman Estate","Anti-social behaviour"
"2015-01",-6.667208,55.127296," Mount Street","Anti-social behaviour"
"2015-01",-6.178737,54.710045," Willowdale","Anti-social behaviour"
"2015-01",-6.6634,55.150727," Loughanhill Park","Anti-social behaviour"
"2015-01",-7.314257,54.376586," Spout Walk","Anti-social behaviour"
"2015-01",-6.256323,54.106532," Ganna Way","Anti-social behaviour"
"2015-01",-7.609154,54.353089," Lackaboy View","Anti-social behaviour"
"2015-01",-6.053481,54.502902," Beechland Drive","Anti-social behaviour"
"2015-01",-6.00906,54.544246," Elm Corner","Anti-social behaviour"
"2015-01",-6.523111,55.06806," Westoncroft Park","Anti-social behaviour"
"2015-01",-7.457364,54.759805," Fyfin Road","Anti-social behaviour"
"2015-01",-6.647426,55.190274," Hopefield Gardens","Anti-social behaviour"
"2015-01",-7.212808,54.981691," Lettershendony Avenue","Anti-social behaviour"
"2015-01",-7.321893,54.999244," Great James Street","Anti-social behaviour"
"2015-01",-5.492489,54.546479," Westland Court","Anti-social behaviour"
"2015-01",-6.749596,54.651313," Millburn Park","Anti-social behaviour"
"2015-01",-6.655919,54.351032," Dawson Street","Anti-social behaviour"
"2015-01",-5.933747,54.589552," Donegall Pass","Anti-social behaviour"
"2015-01",-6.739736,54.646009," Molesworth Road","Anti-social behaviour"
"2015-01",-5.976382,54.624272," Leggagh Court","Anti-social behaviour"
"2015-01",-6.230421,54.479666," Castlevue Gardens","Anti-social behaviour"
"2015-01",-5.838481,54.638996," Ean Hill","Anti-social behaviour"
"2015-01",-5.952902,54.607713," Keswick Street","Anti-social behaviour"
"2015-01",-6.610359,54.755642," Rainey Street","Anti-social behaviour"
"2015-01",-5.703392,54.659187," Rathmore Crescent","Anti-social behaviour"
"2015-01",-5.891737,54.598019," Connswater Street","Anti-social behaviour"
"2015-01",-5.971399,54.692914," Ballyclare Road","Anti-social behaviour"
"2015-01",-5.990704,54.57592," Croaghan Gardens","Anti-social behaviour"
"2015-01",-5.925203,54.602102," Victoria Street","Anti-social behaviour"
"2015-01",-5.931541,54.596433," Donegall Square West","Anti-social behaviour"
"2015-01",-5.680131,54.654502," Oakwood Avenue","Anti-social behaviour"
"2015-01",-5.954722,54.678797," Pembrooke Court","Anti-social behaviour"
"2015-01",-6.122706,54.56787," The Mews","Anti-social behaviour"
"2015-01",-5.740649,54.554193," Darragh Gardens","Anti-social behaviour"
"2015-01",-5.940876,54.622721," Vancouver Drive","Anti-social behaviour"
"2015-01",-5.823735,54.592592," Ardcarn Park","Anti-social behaviour"
"2015-01",-6.26995,54.348747," Rathfriland Street","Anti-social behaviour"
"2015-01",-5.758173,54.753498," Bridgend Road","Anti-social behaviour"
"2015-01",-7.30162,54.602116," Drumragh Avenue","Anti-social behaviour"
"2015-01",-5.872615,54.608602," Inverwood Gardens","Anti-social behaviour"
"2015-01",-6.282422,54.865071," Hope Street","Anti-social behaviour"
"2015-01",-6.021382,54.573515," Garvey Manor","Anti-social behaviour"
"2015-01",-6.033432,54.51468," Wesley Street","Anti-social behaviour"
"2015-01",-6.269004,54.877944," Herbison Park","Anti-social behaviour"
"2015-01",-6.220506,54.71399," Clarke Court","Anti-social behaviour"
"2015-01",-5.982349,54.617588," Glencairn Way","Anti-social behaviour"
"2015-01",-5.684268,54.591036," Inisharoan Court","Anti-social behaviour"
"2015-01",-5.959295,54.617911," Etna Drive","Anti-social behaviour"
"2015-01",-7.34701,54.992124," Cromore Gardens","Anti-social behaviour"
"2015-01",-6.946046,55.039372," Gorteen Crescent","Anti-social behaviour"
"2015-01",-5.814448,54.712692," Belfast Road","Anti-social behaviour"
"2015-01",-6.218148,54.620885," Cidercourt Road","Anti-social behaviour"
"2015-01",-6.737384,54.650934," Beechway","Anti-social behaviour"
"2015-01",-5.710843,54.646856," Rathgael Road","Anti-social behaviour"
"2015-01",-6.743916,54.634544," Gortalowry Park","Anti-social behaviour"
"2015-01",-5.954923,54.668935," Antrim Road","Anti-social behaviour"
"2015-01",-6.681687,55.126088," Kylemore Road","Anti-social behaviour"
"2015-01",-6.041629,54.542164," Milltown Park","Anti-social behaviour"
"2015-01",-5.913227,54.603864," Queens Road","Anti-social behaviour"
"2015-01",-6.342449,54.170958," Pool Lane","Anti-social behaviour"
