"Location","Month","Crime.type","Latitude","Longitude","Postcode"
"burnsidepark","2015-01","Anti-socialbehaviour","55.12048","-6.681433","BT86HU"
"burnviewterrace","2015-01","Anti-socialbehaviour","54.351547","-6.264111","BT324DJ"
"burrenviewway","2015-01","Anti-socialbehaviour","54.222905","-5.893638","BT330JQ"
"bushpark","2015-01","Anti-socialbehaviour","54.722949","-6.202372","BT411BX"
"bushroad","2015-01","Anti-socialbehaviour","54.529506","-6.71069","BT412QB"
"caledonstreet","2015-01","Anti-socialbehaviour","54.604544","-5.961001","BT133AX"
"cambournecrescent","2015-01","Anti-socialbehaviour","55.058394","-6.520227","BT234WA"
"cambraidrive","2015-01","Anti-socialbehaviour","54.434747","-6.290601","BT667QU"
"cameroncourt","2015-01","Anti-socialbehaviour","54.754506","-5.999062","BT399UZ"
"cameronpark","2015-01","Anti-socialbehaviour","54.860783","-6.305249","BT421QJ"
"campioncourt","2015-01","Anti-socialbehaviour","54.984586","-7.314174","BT472EW"
"canalplace","2015-01","Anti-socialbehaviour","54.534443","-6.688581","BT714RA"
"canberragardens","2015-01","Anti-socialbehaviour","54.577587","-5.699942","BT234RN"
"cannondale","2015-01","Anti-socialbehaviour","54.594518","-7.301966","BT781JU"
"carbryheights","2015-01","Anti-socialbehaviour","54.244846","-6.700947","BT603AW"
"carlingfordstreet","2015-01","Anti-socialbehaviour","54.588252","-5.903567","BT68NE"
"carlislepark","2015-01","Anti-socialbehaviour","54.395883","-5.887876","BT248HL"
"carmeengardens","2015-01","Anti-socialbehaviour","54.587275","-5.704734","BT234PP"
"carmelstreet","2015-01","Anti-socialbehaviour","54.582198","-5.926106","BT71QF"
"carneyhall","2015-01","Anti-socialbehaviour","54.193148","-6.321428","BT341GA"
"carnhill","2015-01","Anti-socialbehaviour","55.025029","-7.321051","BT488BG"
"carnhill","2015-01","Anti-socialbehaviour","55.023058","-7.320302","BT488BG"
"carnreaghbend","2015-01","Anti-socialbehaviour","54.664171","-5.923682","BT379EG"
"carrowreaghroad","2015-01","Anti-socialbehaviour","54.596171","-5.781839","BT538RS"
"carrsglenpark","2015-01","Anti-socialbehaviour","54.63157","-5.961492","BT148HE"
"carthallmanor","2015-01","Anti-socialbehaviour","55.132131","-6.68812","BT513GR"
"casaeldonapark","2015-01","Anti-socialbehaviour","54.574443","-5.873313","BT69RB"
"castlekeele","2015-01","Anti-socialbehaviour","54.177754","-6.356391","BT358GJ"
"castlelane","2015-01","Anti-socialbehaviour","55.132497","-6.677054","BT235EB"
