"","Locality","Townland","Town"
"15183",NA,"BOVALLY","LIMAVADY"
"15184",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"15185",NA,"BALLYCRUM","LIMAVADY"
"15188",NA,"ENAGH","LIMAVADY"
"15189",NA,"ARDGARVAN","LIMAVADY"
"15190",NA,"LITTLE DERRY","LIMAVADY"
"15192",NA,"BOVALLY","LIMAVADY"
"15193",NA,"LECK","LIMAVADY"
"15194",NA,"BOVALLY","LIMAVADY"
"15196",NA,"BOVALLY","LIMAVADY"
"15201",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"15202",NA,"ENAGH","LIMAVADY"
"15208",NA,"BOVALLY","LIMAVADY"
"15210",NA,"CARRAN","LIMAVADY"
"15212",NA,"BOVALLY","LIMAVADY"
"15216",NA,"BOVALLY","LIMAVADY"
"15221",NA,"ARDGARVAN","LIMAVADY"
"15224",NA,"GORTGARN","LIMAVADY"
"15225",NA,"ENAGH","LIMAVADY"
"15401",NA,"MAINE SOUTH","LIMAVADY"
"15424",NA,"DRUMSURN LOWER","LIMAVADY"
"15441",NA,"TEMPLEMOYLE","LIMAVADY"
"15442",NA,"BALLYQUIN","LIMAVADY"
"15446",NA,"CLOGHAN","LIMAVADY"
"15478",NA,"DRUMSURN UPPER","LIMAVADY"
"16058",NA,"COOLESSAN","LIMAVADY"
"21262",NA,"BOVALLY","LIMAVADY"
"21453",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"21455",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"21535",NA,"LOWER DOAGHS","LIMAVADY"
"21584",NA,"BOLEA","LIMAVADY"
"21791",NA,"GORTMORE","LIMAVADY"
"21800",NA,"MARGYMONAGHAN","LIMAVADY"
"21832",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"21846",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"21847",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"22070",NA,"RATHBRADY MORE","LIMAVADY"
"22071",NA,"RATHBRADY MORE","LIMAVADY"
"22263",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"22308",NA,"RATHBRADY MORE","LIMAVADY"
"22475",NA,"BOVALLY","LIMAVADY"
"22516",NA,"COOLESSAN","LIMAVADY"
"22532",NA,"BALLYHENRY WEST","LIMAVADY"
"22543",NA,"BOVALLY","LIMAVADY"
"22610",NA,"COOLESSAN","LIMAVADY"
"22699",NA,"WALWORTH","LIMAVADY"
"22866","BOVALLY","BOVALLY","LIMAVADY"
"22873",NA,"SOUTH TERRYDOO WALKER","LIMAVADY"
"23049",NA,"CARRAN","LIMAVADY"
"23096",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"23116",NA,"TEMPLEMOYLE","LIMAVADY"
"23126",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"23144",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"23226",NA,"DRUMSURN LOWER","LIMAVADY"
"23522",NA,"BOVALLY","LIMAVADY"
"23545",NA,"BROHARRIS","LIMAVADY"
"23708",NA,"MARGYMONAGHAN","LIMAVADY"
"23750",NA,"ENAGH","LIMAVADY"
"23751",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"23768",NA,"BALLYQUIN","LIMAVADY"
"23806",NA,"BALLYNAHERY","LIMAVADY"
"24638",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"24655",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"24723",NA,"DRUMSURN LOWER","LIMAVADY"
"24910",NA,"BALLYNAHERY","LIMAVADY"
"25008",NA,"COOLESSAN","LIMAVADY"
"25057",NA,"BROHARRIS","LIMAVADY"
"25122",NA,"CLAGAN","LIMAVADY"
"25127",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"25213",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"25214",NA,"COOLESSAN","LIMAVADY"
"25444",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"25462",NA,"ENAGH","LIMAVADY"
