"","Locality","Townland","Town"
"442351",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"442355",NA,"RATHBRADY MORE","LIMAVADY"
"442356",NA,"ENAGH","LIMAVADY"
"442359",NA,"RATHBRADY MORE","LIMAVADY"
"442360",NA,"EDENMORE","LIMAVADY"
"442361",NA,"RATHBRADY MORE","LIMAVADY"
"442362",NA,"COOLESSAN","LIMAVADY"
"442364",NA,"SOUTH TERRYDOO WALKER","LIMAVADY"
"442366",NA,"BOVALLY","LIMAVADY"
"442367",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"442371",NA,"ENAGH","LIMAVADY"
"442372",NA,"BOVALLY","LIMAVADY"
"442373",NA,"ENAGH","LIMAVADY"
"442374",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"442377",NA,"BALLYRISK MORE","LIMAVADY"
"442379",NA,"COOLESSAN","LIMAVADY"
"442380",NA,"AGHANSILLAGH","LIMAVADY"
"442382",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"442384",NA,"RATHBRADY MORE","LIMAVADY"
"442385",NA,"CARRAN","LIMAVADY"
"442386",NA,"ENAGH","LIMAVADY"
"442387",NA,"CARRAN","LIMAVADY"
"442389","BOVALLY","BOVALLY","LIMAVADY"
"442392",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"442398",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"442405",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"442406",NA,"BOVALLY","LIMAVADY"
"442407",NA,"BOVALLY","LIMAVADY"
"442412",NA,"BOVALLY","LIMAVADY"
"442418",NA,"BOVALLY","LIMAVADY"
"442603",NA,"DRUMSURN LOWER","LIMAVADY"
"442647",NA,"DRUMSURN LOWER","LIMAVADY"
"442853",NA,"LOMOND","LIMAVADY"
"448090",NA,"TERRYDREMONT SOUTH","LIMAVADY"
"448401",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"448433",NA,"CULMORE LOWER","LIMAVADY"
"448740",NA,"CARRAN","LIMAVADY"
"448870",NA,"ENAGH","LIMAVADY"
"448889",NA,"BOVALLY","LIMAVADY"
"448992",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"449314",NA,"RATHBRADY MORE","LIMAVADY"
"449315",NA,"RATHBRADY MORE","LIMAVADY"
"449372",NA,"BOVALLY","LIMAVADY"
"449444",NA,"RATHBRADY MORE","LIMAVADY"
"449473",NA,"SHANVEY","LIMAVADY"
"449503",NA,"CARRYDOO","LIMAVADY"
"449570",NA,"WALWORTH","LIMAVADY"
"449764",NA,"BOVALLY","LIMAVADY"
"449936",NA,"CARRAN","LIMAVADY"
"449937",NA,"ENAGH","LIMAVADY"
"449962",NA,"ENAGH","LIMAVADY"
"450358",NA,"TULLY","LIMAVADY"
"450359",NA,"ENAGH","LIMAVADY"
"450360",NA,"RATHBRADY MORE","LIMAVADY"
"450367",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"450368",NA,"CARRAN","LIMAVADY"
"450390",NA,"BOVALLY","LIMAVADY"
"450402",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"450403",NA,"RATHBRADY MORE","LIMAVADY"
"450557",NA,"COOLESSAN","LIMAVADY"
"450566",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"450579",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"450608",NA,"TAMLAGHT","LIMAVADY"
"450609",NA,"ENAGH","LIMAVADY"
"450642",NA,"RATHBRADY MORE","LIMAVADY"
"451350",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"451563",NA,"BENONE","LIMAVADY"
"451642",NA,"RATHBRADY MORE","LIMAVADY"
"451715",NA,"DRUMAVALLY","LIMAVADY"
"451740",NA,"ENAGH","LIMAVADY"
"451871",NA,"BURNALLY","LIMAVADY"
"452710",NA,"GLACK","LIMAVADY"
"452908",NA,"BOVALLY","LIMAVADY"
"452953",NA,"WALWORTH","LIMAVADY"
"453344",NA,"BOVALLY","LIMAVADY"
"453687",NA,"BALLYMULLY","LIMAVADY"
"453689",NA,"COOLESSAN","LIMAVADY"
"453690",NA,"RATHBRADY MORE","LIMAVADY"
"453739",NA,"BOVALLY","LIMAVADY"
"453773","AGHANLOO INDUSTRIAL ESTATE","ARTIKELLY","LIMAVADY"
"453781",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"453782",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"453787",NA,"GORTNAMONEY","LIMAVADY"
"453792",NA,"ENAGH","LIMAVADY"
"453815",NA,"BOVALLY","LIMAVADY"
"453816",NA,"ARDGARVAN","LIMAVADY"
"453832",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"453835",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"453913",NA,"BALLYHENRY EAST","LIMAVADY"
"453927",NA,"CARRAN","LIMAVADY"
"454905",NA,"ARDINARIVE","LIMAVADY"
"455038",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"455561",NA,"RATHBRADY MORE","LIMAVADY"
"455584",NA,"LISLANE","LIMAVADY"
"455615",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"455640",NA,"ENAGH","LIMAVADY"
"456042","AGHANLOO INDUSTRIAL ESTATE","ARTIKELLY","LIMAVADY"
"456102",NA,"COOLESSAN","LIMAVADY"
"456127",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"456202",NA,"RATHBRADY MORE","LIMAVADY"
"456207",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"456224",NA,"GORTNARNEY","LIMAVADY"
"456355",NA,"DRUMAVALLY","LIMAVADY"
"456362",NA,"CLOONEY","LIMAVADY"
"456366",NA,"DRUMAVALLY","LIMAVADY"
"456367",NA,"DRUMAVALLY","LIMAVADY"
"456468",NA,"CARROWCLARE","LIMAVADY"
"456529",NA,"LOMOND","LIMAVADY"
"456736",NA,"RATHBRADY MORE","LIMAVADY"
"456737",NA,"GLACK","LIMAVADY"
"456738",NA,"ENAGH","LIMAVADY"
"456739",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"456740",NA,"RATHBRADY MORE","LIMAVADY"
"456741",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"456742",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"456744",NA,"RATHBRADY MORE","LIMAVADY"
"456745",NA,"BOVALLY","LIMAVADY"
"456747",NA,"RATHBRADY MORE","LIMAVADY"
"456748",NA,"BOVALLY","LIMAVADY"
"456749",NA,"ENAGH","LIMAVADY"
"456751",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"456752",NA,"CARRAN","LIMAVADY"
"456757",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"456759",NA,"ENAGH","LIMAVADY"
"456760",NA,"RATHBRADY MORE","LIMAVADY"
"456761",NA,"CULMORE UPPER","LIMAVADY"
"456762",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"456763",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"456766",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"456767",NA,"DROMORE","LIMAVADY"
"456769",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"456770",NA,"RATHBRADY MORE","LIMAVADY"
"456772",NA,"BOVALLY","LIMAVADY"
"456773",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"456774",NA,"DEER PARK","LIMAVADY"
"456776",NA,"ENAGH","LIMAVADY"
"456777",NA,"BOVALLY","LIMAVADY"
"456778",NA,"BALLYMULLY","LIMAVADY"
"456779",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"456780",NA,"CAHERY","LIMAVADY"
"456782",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"456783",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"456785","BOVALLY","BOVALLY","LIMAVADY"
"456787",NA,"BOVALLY","LIMAVADY"
"456788",NA,"BOVALLY","LIMAVADY"
"456789",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"456790",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"456791",NA,"GLENKEEN","LIMAVADY"
"456792",NA,"BOVALLY","LIMAVADY"
"456794",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"456798",NA,"DEER PARK","LIMAVADY"
"456800",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"456801",NA,"ENAGH","LIMAVADY"
"456807",NA,"RATHBRADY MORE","LIMAVADY"
"456810",NA,"ENAGH","LIMAVADY"
"456812",NA,"COOLESSAN","LIMAVADY"
"456814",NA,"COOLESSAN","LIMAVADY"
"456819",NA,"DRUMBALLYDONAGHY","LIMAVADY"
"456823",NA,"ENAGH","LIMAVADY"
"456830",NA,"BOVALLY","LIMAVADY"
"456842",NA,"CARRAN","LIMAVADY"
"456853",NA,"BOVALLY","LIMAVADY"
"457078",NA,"DRUMGAVENNY UPPER","LIMAVADY"
"457093",NA,"DRUMSURN UPPER","LIMAVADY"
"457104",NA,"CLOGHAN","LIMAVADY"
"457105",NA,"DRUMSURN UPPER","LIMAVADY"
"457107",NA,"DRUMGAVENNY UPPER","LIMAVADY"
"457222",NA,"OUGHTYMOYLE","LIMAVADY"
"457626",NA,"BOVALLY","LIMAVADY"
"457645",NA,"ENAGH","LIMAVADY"
"457649",NA,"RATHBRADY MORE","LIMAVADY"
"457657",NA,"RATHBRADY MORE","LIMAVADY"
"462804",NA,"RATHBRADY MORE","LIMAVADY"
"463017",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"463045",NA,"GLEBE","LIMAVADY"
"463134",NA,"COOLESSAN","LIMAVADY"
"463135",NA,"COOLESSAN","LIMAVADY"
"463226",NA,"BOVALLY","LIMAVADY"
"463399",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"463476",NA,"BOVALLY","LIMAVADY"
"463542",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"463597",NA,"ENAGH","LIMAVADY"
"463900",NA,"BALLYDARROG","LIMAVADY"
"463939",NA,"BOVALLY","LIMAVADY"
"463940",NA,"BOVALLY","LIMAVADY"
"463942",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"464323",NA,"RATHBRADY MORE","LIMAVADY"
"464324",NA,"ARDGARVAN","LIMAVADY"
"464325",NA,"BOVALLY","LIMAVADY"
"464458",NA,"CLOGHAN","LIMAVADY"
"464498",NA,"DRUMADREEN","LIMAVADY"
"464561",NA,"CARRAN","LIMAVADY"
"464596",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"464704",NA,"BOVALLY","LIMAVADY"
"464970",NA,"SCOTCHTOWN","LIMAVADY"
"464984",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"464985",NA,"MULLAGH","LIMAVADY"
"465012",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"465013",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"465132",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"465133",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"465153",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"465154",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"465266",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"465282",NA,"BOVALLY","LIMAVADY"
"465286",NA,"COOLESSAN","LIMAVADY"
"465287",NA,"BOVALLY","LIMAVADY"
"465998","AGHANLOO INDUSTRIAL ESTATE","ARTIKELLY","LIMAVADY"
"466253","BOVALLY","BOVALLY","LIMAVADY"
"466319",NA,"EDENMORE","LIMAVADY"
"466599",NA,"ENAGH","LIMAVADY"
"466661",NA,"BOVALLY","LIMAVADY"
"466701",NA,"COOLESSAN","LIMAVADY"
"466781",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"466823",NA,"RATHBRADY MORE","LIMAVADY"
"466849",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"466887",NA,"BALLYCARTON","LIMAVADY"
"467511",NA,"BOVALLY","LIMAVADY"
"467532",NA,"BOVALLY","LIMAVADY"
"467609",NA,"BOVALLY","LIMAVADY"
"467728",NA,"BOVALLY","LIMAVADY"
"468023",NA,"BOVALLY","LIMAVADY"
"468355",NA,"BOVALLY","LIMAVADY"
"468356",NA,"DERRY MORE","LIMAVADY"
"468359",NA,"BOVALLY","LIMAVADY"
"468360",NA,"RATHBRADY MORE","LIMAVADY"
"468367",NA,"BOVALLY","LIMAVADY"
"468370",NA,"ENAGH","LIMAVADY"
"468384",NA,"BOVALLY","LIMAVADY"
"468402",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"468450",NA,"GORTNAMONEY","LIMAVADY"
"468463",NA,"ARDGARVAN","LIMAVADY"
"468473",NA,"RATHBRADY MORE","LIMAVADY"
"468492",NA,"ENAGH","LIMAVADY"
"468493",NA,"RATHBRADY MORE","LIMAVADY"
"468502",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"468503",NA,"CARRAN","LIMAVADY"
"468513",NA,"DRUMRANE","LIMAVADY"
"468567",NA,"BOVALLY","LIMAVADY"
"468599",NA,"COOLESSAN","LIMAVADY"
"468608",NA,"RATHBRADY MORE","LIMAVADY"
"468629",NA,"GLACK","LIMAVADY"
"469507",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"469613",NA,"ARDINARIVE","LIMAVADY"
"469729",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"469737",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"469762",NA,"BALLYMULLY","LIMAVADY"
"470047",NA,"BOLEA","LIMAVADY"
"470112",NA,"ENAGH","LIMAVADY"
"470231",NA,"RATHBRADY MORE","LIMAVADY"
"470299",NA,"ENAGH","LIMAVADY"
"470504",NA,"MILL TOWN","LIMAVADY"
"471002",NA,"DRUMSURN LOWER","LIMAVADY"
"471053",NA,"BALLYSCULLION","LIMAVADY"
"471056",NA,"BALLYMULTIMBER","LIMAVADY"
"471058",NA,"MARGYMONAGHAN","LIMAVADY"
"471207",NA,"GORTNAMONEY","LIMAVADY"
"471410",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"471411",NA,"RATHBRADY MORE","LIMAVADY"
"471412",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"471413",NA,"COOLESSAN","LIMAVADY"
"471414",NA,"COOLESSAN","LIMAVADY"
"471415",NA,"ENAGH","LIMAVADY"
"471416",NA,"CARRAN","LIMAVADY"
"471417",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"471418",NA,"RATHBRADY MORE","LIMAVADY"
"471420",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"471421",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"471422",NA,"ENAGH","LIMAVADY"
"471424",NA,"ENAGH","LIMAVADY"
"471425",NA,"RATHBRADY MORE","LIMAVADY"
"471427",NA,"RATHBRADY MORE","LIMAVADY"
"471428",NA,"ENAGH","LIMAVADY"
"471429",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"471430",NA,"ENAGH","LIMAVADY"
"471431",NA,"ENAGH","LIMAVADY"
"471432",NA,"CULMORE UPPER","LIMAVADY"
"471433",NA,"ENAGH","LIMAVADY"
"471435",NA,"BOVALLY","LIMAVADY"
"471439",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"471440",NA,"ENAGH","LIMAVADY"
"471441",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"471443",NA,"TAMLAGHT","LIMAVADY"
"471444",NA,"COOLESSAN","LIMAVADY"
"471445",NA,"ENAGH","LIMAVADY"
"471447",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"471448",NA,"COOLESSAN","LIMAVADY"
"471449",NA,"BOVALLY","LIMAVADY"
"471450",NA,"CARRAN","LIMAVADY"
"471451",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"471453",NA,"ENAGH","LIMAVADY"
"471456",NA,"BALLYNAHERY","LIMAVADY"
"471457",NA,"BOVALLY","LIMAVADY"
"471459",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"471460",NA,"COOLESSAN","LIMAVADY"
"471461",NA,"RATHBRADY MORE","LIMAVADY"
"471462",NA,"ENAGH","LIMAVADY"
"471463",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"471464",NA,"LISLANE","LIMAVADY"
"471467",NA,"BOVALLY","LIMAVADY"
"471469",NA,"CARRAN","LIMAVADY"
"471470",NA,"CARRAN","LIMAVADY"
"471471",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"471472",NA,"ENAGH","LIMAVADY"
"471473",NA,"ENAGH","LIMAVADY"
"471482",NA,"CARRAN","LIMAVADY"
"471483",NA,"ENAGH","LIMAVADY"
"471484",NA,"CLAGAN","LIMAVADY"
"471485",NA,"ENAGH","LIMAVADY"
"471488",NA,"RATHBRADY MORE","LIMAVADY"
"471489",NA,"LISNAKILLY","LIMAVADY"
"471490",NA,"COOLESSAN","LIMAVADY"
"471501",NA,"BALLYMULLY","LIMAVADY"
"471507",NA,"BOVALLY","LIMAVADY"
"472240",NA,"DRUMACARNEY","LIMAVADY"
"472280",NA,"ENAGH","LIMAVADY"
"472311",NA,"DRUMBALLYDONAGHY","LIMAVADY"
"475957",NA,"DRUMSURN LOWER","LIMAVADY"
"477685",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"478129",NA,"BOVALLY","LIMAVADY"
"478474",NA,"FRUITHILL","LIMAVADY"
"478555",NA,"BOVALLY","LIMAVADY"
"478750",NA,"BOVALLY","LIMAVADY"
"478921",NA,"WALWORTH","LIMAVADY"
"478928",NA,"WALWORTH","LIMAVADY"
"479059",NA,"ENAGH","LIMAVADY"
"479068",NA,"DRUMAVALLY","LIMAVADY"
"479214",NA,"LARGY","LIMAVADY"
"479241",NA,"DRUMADREEN","LIMAVADY"
"479242",NA,"BOVALLY","LIMAVADY"
"479263",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"479283",NA,"COOLESSAN","LIMAVADY"
"479293",NA,"ENAGH","LIMAVADY"
"479323",NA,"AUGHIL","LIMAVADY"
"479710",NA,"GORTNAMONEY","LIMAVADY"
"479715",NA,"COOLESSAN","LIMAVADY"
"479716",NA,"COOLESSAN","LIMAVADY"
"479726",NA,"RATHBRADY MORE","LIMAVADY"
"479744",NA,"CARRAN","LIMAVADY"
"479933",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"479944",NA,"CARRICK","LIMAVADY"
"479960",NA,"CARROWCLARE","LIMAVADY"
"480011",NA,"DRUMAVALLY","LIMAVADY"
"480953",NA,"ARTIKELLY","LIMAVADY"
"481041",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"481137",NA,"ENAGH","LIMAVADY"
"481169",NA,"ENAGH","LIMAVADY"
"481380","FRUITHILL","DOWLAND","LIMAVADY"
"481432",NA,"KILLYBREADY","LIMAVADY"
"481594",NA,"RATHBRADY MORE","LIMAVADY"
"481595",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"481855",NA,"RATHBRADY MORE","LIMAVADY"
"482342",NA,"BOVALLY","LIMAVADY"
"482352",NA,"BALLYAVELIN NORTH","LIMAVADY"
"482419",NA,"BOVALLY","LIMAVADY"
"482423",NA,"BOVALLY","LIMAVADY"
"482424",NA,"BOVALLY","LIMAVADY"
"482477",NA,"BOVALLY","LIMAVADY"
"482504",NA,"BOVALLY","LIMAVADY"
"482532",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"482533",NA,"KILLANE","LIMAVADY"
"482761",NA,"WALWORTH","LIMAVADY"
"482812",NA,"BOVALLY","LIMAVADY"
"482827",NA,"RATHBRADY MORE","LIMAVADY"
"482876",NA,"BOVALLY","LIMAVADY"
"483211",NA,"COOLESSAN","LIMAVADY"
"483212",NA,"RATHBRADY MORE","LIMAVADY"
"483215",NA,"OUGHTYMOYLE","LIMAVADY"
"483220",NA,"BOVALLY","LIMAVADY"
"483302",NA,"ENAGH","LIMAVADY"
"483311",NA,"ENAGH","LIMAVADY"
"483339",NA,"RATHBRADY MORE","LIMAVADY"
"483340",NA,"CARRAN","LIMAVADY"
"483354",NA,"CARRAN","LIMAVADY"
"483430",NA,"RATHBRADY MORE","LIMAVADY"
"483447",NA,"GORTNAMONEY","LIMAVADY"
"484383",NA,"COOLESSAN","LIMAVADY"
"484402",NA,"NED","LIMAVADY"
"484431",NA,"ARDGARVAN","LIMAVADY"
"484875",NA,"BOLEA","LIMAVADY"
"485123",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"485333",NA,"MILL TOWN","LIMAVADY"
"485516",NA,"GLEBE","LIMAVADY"
"485594",NA,"COOLESSAN","LIMAVADY"
"485613",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"485663",NA,"BOVALLY","LIMAVADY"
"485673",NA,"KEADY","LIMAVADY"
"485848",NA,"BENONE","LIMAVADY"
"485971",NA,"BALLYHENRY EAST","LIMAVADY"
"486191",NA,"TARTNAKILLY","LIMAVADY"
"486194",NA,"MULKEERAGH","LIMAVADY"
"486195",NA,"DROMORE","LIMAVADY"
"486196",NA,"DROMORE","LIMAVADY"
"486197",NA,"COOLESSAN","LIMAVADY"
"486198",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"486199",NA,"DEER PARK","LIMAVADY"
"486201",NA,"BOVALLY","LIMAVADY"
"486202",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"486203",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"486204",NA,"TAMLAGHT","LIMAVADY"
"486209",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"486210",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"486211",NA,"COOLESSAN","LIMAVADY"
"486212",NA,"ENAGH","LIMAVADY"
"486213",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"486214",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"486215",NA,"RATHBRADY MORE","LIMAVADY"
"486216",NA,"RATHBRADY MORE","LIMAVADY"
"486218",NA,"BOVALLY","LIMAVADY"
"486219",NA,"RATHBRADY MORE","LIMAVADY"
"486221",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"486222",NA,"RATHBRADY MORE","LIMAVADY"
"486223",NA,"ENAGH","LIMAVADY"
"486224",NA,"RATHBRADY MORE","LIMAVADY"
"486225",NA,"RATHBRADY MORE","LIMAVADY"
"486229",NA,"COOLESSAN","LIMAVADY"
"486230",NA,"RATHBRADY MORE","LIMAVADY"
"486232",NA,"COOLESSAN","LIMAVADY"
"486234",NA,"DEER PARK","LIMAVADY"
"486235",NA,"ENAGH","LIMAVADY"
"486236",NA,"COOLESSAN","LIMAVADY"
"486238",NA,"BALLYCRUM","LIMAVADY"
"486240",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"486242",NA,"ENAGH","LIMAVADY"
"486243",NA,"ENAGH","LIMAVADY"
"486244",NA,"ENAGH","LIMAVADY"
"486247",NA,"ENAGH","LIMAVADY"
"486248",NA,"COOLESSAN","LIMAVADY"
"486249",NA,"RATHBRADY MORE","LIMAVADY"
"486252",NA,"BOVALLY","LIMAVADY"
"486253",NA,"DRUMRAMER","LIMAVADY"
"486254",NA,"GLEBE","LIMAVADY"
"486257",NA,"TERRYDREMONT NORTH","LIMAVADY"
"486258",NA,"RATHBRADY MORE","LIMAVADY"
"486261",NA,"BOVALLY","LIMAVADY"
"486263",NA,"RATHBRADY MORE","LIMAVADY"
"486274",NA,"BALLYMULLY","LIMAVADY"
"486283",NA,"ENAGH","LIMAVADY"
"486287",NA,"FRUITHILL","LIMAVADY"
"486468",NA,"DRUMSURN LOWER","LIMAVADY"
"486484",NA,"MOYS","LIMAVADY"
"486512",NA,"GLACK","LIMAVADY"
"487072",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"487076",NA,"DRUMMOND","LIMAVADY"
"492090",NA,"BOVALLY","LIMAVADY"
"492377",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"492403",NA,"RATHBRADY MORE","LIMAVADY"
"492432","AGHANLOO INDUSTRIAL ESTATE","ARTIKELLY","LIMAVADY"
"492469",NA,"CLOGHAN","LIMAVADY"
"492502",NA,"CARRYDOO","LIMAVADY"
"492588",NA,"BOVALLY","LIMAVADY"
"492765",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"492790",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"492791",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"492803",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"492827",NA,"BOVALLY","LIMAVADY"
"493008",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"493009",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"493096",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"493328",NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY"
"493467",NA,"BOVALLY","LIMAVADY"
"493468",NA,"BOVALLY","LIMAVADY"
"493607",NA,"WALWORTH","LIMAVADY"
"493608",NA,"WALWORTH","LIMAVADY"
"493767",NA,"CARRAN","LIMAVADY"
"493768",NA,"ENAGH","LIMAVADY"
"493938",NA,"LARGY","LIMAVADY"
